aX,aY,aZ,gX,gY,gZ
-1.246,-0.157,1.306,-102.478,49.927,220.703
-1.100,-0.059,1.092,-84.106,78.979,191.345
-0.959,0.084,0.938,-5.249,112.488,141.968
-0.651,0.315,0.801,15.869,121.033,116.943
-0.501,0.359,0.769,3.174,126.160,73.364
-0.257,0.356,0.688,-9.888,118.042,57.068
-0.145,0.318,0.668,-17.700,101.501,42.847
-0.035,0.276,0.677,-15.259,60.486,19.531
0.160,0.256,0.727,-6.958,49.988,11.353
0.208,0.276,0.732,24.902,68.115,-3.784
0.195,0.291,0.697,44.495,90.088,-12.817
0.107,0.260,0.669,69.458,109.253,-25.513
0.109,0.191,0.654,131.409,97.290,-102.234
0.571,0.150,0.760,158.752,57.068,-126.404
0.506,0.080,0.866,53.528,21.790,3.357
0.238,-0.078,0.847,-34.668,27.466,25.330
0.270,-0.089,0.860,-35.645,39.673,-56.763
0.287,-0.084,0.962,0.549,52.979,-79.529
0.228,-0.091,0.993,19.958,74.158,-89.355
0.170,-0.100,0.975,14.954,134.033,-114.075
0.093,-0.103,0.777,1.526,167.847,-127.197
0.104,-0.122,0.643,-30.457,232.422,-142.273
0.291,-0.385,0.476,-27.527,262.329,-143.311
